id,original_id,text,label,is_augmented
1_bt,1,"Hari ini, layanan online tidak berfungsi. Merasa buruk.",negative,True
5_bt,5,"Bagus. Anda berada di nun-- jika Anda ingin bertanya ""tentang akte kelahiran"".",negative,True
10_bt,10,Mereka yang menunggu pasien harus dikondisikan. Karena pintu masuk idd seharusnya tidak digunakan sebagai ruang tunggu.,negative,True
14_bt,14,"Layanan buruk, petugas yang tidak ramah, peraturan lambat, toilet lebih buruk dari toilet umum. Ruang tunggu panas, kursi kecil begitu banyak pasien berdiri atau duduk di lantai dan eskalator tidak berfungsi. Ini sangat tidak menyenangkan.",negative,True
18_bt,18,Layanan cepat.. Stafs yang ramah.. hanya fasilitasnya yang kurang dirawat dari kamar mandi dan ac,negative,True
35_bt,35,"Layanan rumah sakitnya sangat ramah, bersih. sangat direkomendasikan untuk pengobatan di sini.",negative,True
48_bt,48,"Jika itu untuk pendaftaran baru dari pasien nomor satu ke nomor satu. Lama, 15 sampai 20 menit untuk berbicara dengan banyak petugas.",negative,True
50_bt,50,Pengalaman saya sangat buruk. Operasi bru. Sehari telah diberitahu untuk pulang.,negative,True
59_bt,59,"Rumah sakit bersih, ruang tunggu di klinik juga nyaman. Ada restoran jika kau lapar, ada makanan ringan.",negative,True
62_bt,62,Pengalaman rumah sakit yang buruk. Tidak ada sirkulasi udara di dalam gedung. Harganya terlalu tinggi untuk fasilitas minimum. Dokter tidak berpengalaman dan staf sangat lambat. Anda harus mengejar mereka sepanjang waktu jika Anda ingin layanan.,negative,True
66_bt,66,"Keamanan begitu ketat, tidak masuk akal bagi pasien. Pengalaman Thomas adalah membawanya ke ruang operasi. Anak-anak tidak bisa melihat keluar dari ruangan. Kami ingin menyampaikan. Pertanyaannya hanya menunggu. Kami meminta dokter sekitar satu jam sebelum operasi. Sudah enam jam. Setelah operasi sengatan, keamanan yang sama. Ini sedikit berantakan, pengalaman ingin disuap sama seperti tidak. Resep masuk ke ruangan yang penuh sesak dengan saudara yang mengunjungi. Jika hujan, tempat tidur adalah tempat tidur membawa pasien dari ambulans. Dia bilang itu tempat tidurnya yang sebenarnya. Jika Anda ingin mengubah, Anda harus pindah ke vvip.
Tidak ada tisu toilet. Nama keamanan yang Toniz beli, bagian tubuh tidak terlalu tinggi di tahun 170an hitam, rambut sedikit dikenal sebagai botak. Harap menerima suap jika saya tidak salah untuk pengunjung pasien pada tahun 2022. Ini sangat tidak nyaman.",negative,True
73_bt,73,Layanan yang bagus. Cepat,negative,True
83_bt,83,Layanan sangat jelek... Tidak pernah berubah berapa kali kau berada di sini... Tolong tingkatkan.,negative,True
95_bt,95,"Sekedar mengingatkan, jika kontak berhenti di lt 2 adalah pada, itu akan membuat lebih mudah bagi keluarga pasien untuk menunggu di rumah sakit ini (tidak bisa pulang), dan lain kamar kosong atau tempat tidur saja, karena tidak dapat ditinggalkan di lantai karena itu sangat dilarang oleh keamanan.",negative,True
124_bt,124,"RS daerah di pusat kota depok tapi perasaan dari hotel bintang lima, anak-anak dan tidak trauma anak-anak, tidak seseram tua RS-timey-maju.",negative,True
131_bt,131,"Dokter terlambat, tidak sesuai jadwal. Di garis serobot, perawat 2 di telepon",negative,True
132_bt,132,Gunakan jasanya juga. Kurang dokter juga.,negative,True
141_bt,141,Aku sedang dirawat di ruang pernikahan. Perawat yang cantik dan ramah. Kamarnya bersih dalam cinta.,negative,True
146_bt,146,Dokter meremehkan pasien. Aku punya ambulans. Semua petugas tahu tentang kondisiku. Aku hanya memintanya dalam uap sesak napas.,negative,True
167_bt,167,"Layanan di Aulia baik, tapi ada lebih sedikit obat / farmasi yang berhubungan dengan lebih banyak saham.",negative,True
177_bt,177,"Aku mengantar anak itu ke rumah dekat rumah. Tidak pernah dirawat di sini kemudian daftar pertama. Ternyata anggaran idd dengan bpjs tidak diterima oleh rumah sakit emik. Ketika Anda meminta penjelasan, Anda tidak menjelaskan alasan yang jelas.",negative,True
179_bt,179,Dokter khusus Jerry apos; s paru-paru isn apos; t tepat waktu untuk jadwal di website. Kita harus menunggu 2-3 jam di website,negative,True
182_bt,182,Layanan buruk!,negative,True
183_bt,183,"Nah, untuk perawat dan dokter, itu agak ramah, tapi layanan pengobatan adalah waktu yang lama... Ketika panggilan perawat memang datang untuk pertanyaan, tapi solusinya sering lama sejak perawat tidak bisa dan harus menunggu perawat lain. Respon lama harus diulang dan ketika diminta untuk sesuatu tidak melakukannya segera. I.V. datang tapi itu tetap sekitar satu jam setelah laporan. Dan kemudian ketika kondisi pasien dalam rasa sakit dan anti- penghilang rasa sakit yang infusing, kita harus menunggu sampai lima jam untuk mendapatkannya kembali. Katanya dia sedang menunggu apotek di lantai bawah. That 's how long it takes ♪
Perawat mengatakan itu tidak disediakan oleh R, tapi itu tidak diberikan solusi lain. Jadi kau harus menyediakan untuk dirimu sendiri. Pasti dari pasien yang menyiapkan semua kebutuhan dari hal semacam ini. Jika tidak ada solusi lain setidaknya jangan hanya diam. Itu saja terima kasih.",negative,True
191_bt,191,"Tempat ini bersih, petugas ramah. Ini tidak akan lama, mudah-mudahan akan. Sukses",negative,True
193_bt,193,"RSpad jika Anda ingin pergi ke klinik polisi / Baik pengobatan jalan diparkir di depan jalan di dekatnya, jika Anda ingin pergi ke panti jompo yang lebih baik",negative,True
197_bt,197,"Maaf untuk datang jauh-jauh ke sini, tidak ramah. Penjaga keamanan pagi-pagi sekali tidak benar-benar ditolak. Setelah saya meminta untuk memeriksa dengan kotak sign- up, di kotak, itu menjawab, tapi itu dikonfirmasi itu terbuka. Belum ada konfirmasi. Ini hanya 12: 00 ditulis di papan sampai 13: 00 dan pasien publik, terutama ketika datang untuk menunggu dalam gelap, aku pindah ke tempat lain. Prosedur kurang halus, lebih ramah, lebih peduli dengan pasien.",negative,True
205_bt,205,"Ruang tunggu panas, tidak ada ac, tapi hanya ada satu penggemar di depan stasiun perawat. Lumayan. Tapi sudut ruangan arrohim panas. Tidak ada gordyn.",negative,True
211_bt,211,"Layanan ini sangat buruk, itu adalah daftar baris online tapi masih harus menunggu dalam antrean untuk administrasi, dokter sering terlambat dari latihan jam dan mengambil waktu lama obat, aku dari 12 jam di rumah sakit sampai pukul 7 hanya untuk mengontrol dan mendapatkan obat",negative,True
217_bt,217,Tolong lakukan untuk rumah sakit. Untuk perawat di lantai.,negative,True
218_bt,218,"Dari awal, Idd masuk ke ruangan, semuanya. Ok. Nah, itu responden pertama.",negative,True
225_bt,225,Rumah sakit. Tolong perhatikan dokter ini. Tolong perhatikan!,negative,True
248_bt,248,"Untuk waktu yang lama, hanya ada dua orang menunggu selama dua jam, polling rehabilitasi medis.",negative,True
282_bt,282,Sangat lambat layanan di stasiun perawat semua sibuk dengan urusan samar-samar nya,negative,True
283_bt,283,"Layanan sangat lambat. Menunggu berjam-jam... untuk operasi yang dijadwalkan! Mereka selalu memberikan alasan yang berbeda setiap kali kita bertanya, sebelum akhirnya mengakui bahwa mereka telah mengacaukannya. Singkat cerita, kami harus menjadwal ulang keesokan paginya. Sangat kecewa.",negative,True
285_bt,285,Tidak lama. Tapi di ruang tenang pasien tiba banyak pasien belum dipanggil belum,negative,True
290_bt,290,"Pengalaman saya mengerikan, dengan grid penuh dan tidak cepat ditangani, dan saya datang ke keadaan ketidaksadaran setelah saya menyadari bahwa gid baru saja melakukan apa-apa ketika saya mengeluh sesak napas, tapi idd terkesan tidak peduli. Aku masuk dari jam 1 sampai 9 malam. Aku masih dalam Ipd tanpa tindakan tetapi oksigen dan hanya mengambil darah.
Aku mengambil perusahaan asuransi. Ini tidak seperti kita mengambil lagi.",negative,True
304_bt,304,"Ada banyak pasien menunggu, layanan lambat",negative,True
317_bt,317,"Layanan ini sangat lambat dan tidak ramah, terutama staf farmasi di lantai 2. Anda ditempatkan sebagai penjaga depan di rumah sakit, Anda harus menjual 3, bukan wajah masam.",negative,True
334_bt,334,Tolong lepaskan kateter ketika tidak lembut dan melepaskan infeksi. Apakah karena bpjs atau gmna?,negative,True
337_bt,337,Aku benar-benar sangat kecewa dalam pelayanan di sini. Terutama di pusat pendaftaran.,negative,True
346_bt,346,"Layanan yang baik, suasana yang baik, respon yang sangat cepat",negative,True
349_bt,349,"Suami saya dirawat di sini dengan hasil laboratorium tifus di idd. Dia bilang dia memeriksa lab lagi. Tapi ketika ia meminta perawat untuk pengobatan, kenapa dia tidak memeriksanya? Silakan, itu adalah pasien sampai rumah demam naik karena tidak tahu bagaimana hal itu terjadi karena itu tidak diperiksa ulang.",negative,True
354_bt,354,"Maaf, layanan administrasi terburuk yang pernah saya miliki. Menunggu orang asuransi selama satu jam hanya untuk mendapatkan diagnosis dan resep. Pasien? Ada kurang dari 10 dari mereka.",negative,True
356_bt,356,Ini pertama kalinya ke rumah sakit. Aku lambat untuk mengontrol. Jadi itu saja.,negative,True
357_bt,357,Masuk. Pelayanannya cepat. Di apotek.,negative,True
359_bt,359,"Rumah sakit terburuk di perusahaan, tapi layanan itu mengerikan. Tidak ada perawat yang ramah. Ruang isolasi.",negative,True
367_bt,367,"rekan kerja dirawat untuk dbd dan masalah lambung sebelum ada bpjs
Akses strategis, parkir mudah, dokter dan perawat baik dan responsif. Tks rs Royal Warma",negative,True
372_bt,372,"Ahli kandungan sangat tua, latihan dimulai jam 8: 00. Ibu hamil yang malang",negative,True
385_bt,385,Layanan yang bagus. Rumah sakit. Nyaman.,negative,True
388_bt,388,Pertama kali ke rumah sakit ini untuk pemeriksaan kehamilan.. Karena itu Fktp. Kebetulan bidan tidak ada di klinik. Saya akhirnya disarankan untuk pergi ke rumah sakit untuk memeriksa di sana.,negative,True
390_bt,390,Ini adalah nasib buruk untuk melihat dokter. Sulit untuk melihat. Kenapa kau dalam posisi sakit?,negative,True
399_bt,399,Layanan yang baik untuk tia & amsel.,negative,True
