id,original_id,text,label,is_augmented
1,1,"hari ini, layanan online tidak berfungsi. merasa tidak enak",negative,False
2,2,"senang sekali bisa bertemu dengan dr.liherny ho, dokternya ramah dan penjelasannya sangat jelas.. rs eka hospital family juga pelayanannya baik dan bersih",positive,False
3,3,baru pertama kali berobat di dokter umum dengan obat cuman dapet 3 macam tapi biayanya sampai hampir 300 ribu. dan saya gak tau gimana sistim perincian pembayaran karena di situ udah jelas …,positive,False
4,4,"terimakasih dokter razzaq alhusaini sudah merawat ibu saya di ruang icu dengan sabar, dan menyampaikan kondisi ibu saya kepada keluarga dengan sangat baik, dokter ramah, perhatian dan respon cepat tanggap, jazaakallah khairan🙏🏻😇 …",positive,False
5,5,"bagus ko waktu sc di sna.. klo mau tanya"" soal akte lahir gmn ya ka",negative,False
6,6,dr. handoko sangat sabar & baik sekali 😍 poli kesehatan & poli penyakit juga terpisah.. 👍👍👍 …,positive,False
7,7,"puji tuhan selama berobat di rsud cengkareng menggunakan bpjs saya merasakan terbantu dlm pelayanan n pengobatan yg di berikan oleh dokter n perawat n tenaga medis lainnya.
pelayanan sangat bagus
terima kasih sy ucapkan  buat dokter perawat (anton  ilham poli anastesi) n tenaga medis lainnya",positive,False
8,8,"pelayanannya cepat sekali dan respon dokter serta perawatnya ramah ""...rumah sakitnya bersih banget...makanannya juga enak"" puas juga selama dirawat di rs ukrida ini... pertahankan terus ya...",positive,False
9,9,"untuk ke dua kalinya, dokter kandungan dr. efilda s. sp.og. menjadi kepercayaan kami, mulai dari kontrol di awal masa kehamilan sampai lahiran semuanya dilalui dengan baik dan nyaman, sehingga bisa jelas dan tenang menjalani semua proses …",positive,False
10,10,"kemarin di rawat 5 hari di sini. kamar vip full, antri 2 hari baru dapat. untuk kamar vipnya nyman, bersih, tapi air pamnya berbau (biasa air pik). untuk suster nya sigap banget saat dipanggil, dari pagi sampe malem gaspol. overall …",negative,False
11,11,bencana tes pcr melakukan pcr untuk pergi ke luar negeri. membuat janji temu dengan menuliskan nomor paspor dan …,positive,False
12,12,"pelayanan di rs bhakti yudha semakin baik. mulai dari pelayanan admisi, perawat loket, sampai ke perawat poli anak semuanya baik dan ramah. semenjak renovasi, letak poli dan ruang administrasi jadi lebih teratur dan rapih",positive,False
13,13,"pelayanan dr bidan citra,ika dan rani sangat ramah dan memuaskan,saya merasa terbantu saat menemani adik saya lahiran, penanganan bagus dan sabar saat menangani pasien,terus jaga pelayanan untuk meningkatkan kepuasan, semoga sehat selalu",positive,False
14,14,"pelayanan buruk, petugas tidak ramah, regulasi lambat, toilet lebih buruk dari toilet umum. ruang tunggu panas, kursi sedikit sehingga banyak pasien yang berdiri atau duduk di lantai dan eskalator tidak berfungsi. sangat tidak menyenangkan",negative,False
15,15,"saya dirawat di kamar 312 drngan keluhan sesak napas / asma selama 4 hr 3 malam .dari igd sampai diranap dilayani , dirawat dengan baik oleh suster dan dokternya.rutin cek pasien secara berkala dan selalu menanyakan keluhan yang dirasa agar mendapatankan perawatan yang cepat dn tepat.terima kasih, terutama suster yelyel 🤣😂
dirawat dirumah sakit seperti dirawat keluarga sendiri",positive,False
16,16,"pelayanan ramah, rumah sakit nya bersihh..",negative,False
17,17,pelayanan sangat tdk baik....masuk ugd sudah daftar pun saya masih di biarkan menahan rasa...padahal bayar,positive,False
